0	-7.143
0.02	8.574
0.04	10.492
0.06	3.26
0.08	-6.192
0.1	-5.768
0.12	1.763
0.14	1.753
0.16	0.838
0.18	0.911
0.2	-7.058
0.22	-4.839
0.24	3.546
0.26	7.311
0.28	3.131
0.3	-6.959
0.32	-2.605
0.34	1.214
0.36	2.519
0.38	-1.722
0.4	-8.23
0.42	-2.819
0.44	2.983
0.46	8.54
0.48	7.518
0.5	0.693
0.52	2.144
0.54	4.235
0.56	7.552
0.58	1.559
0.6	-5.831
0.62	3.051
0.64	8.405
0.66	6.515
0.68	3.594
0.7	-7.498
0.72	-11.075
0.74	-5.294
0.76	-11.278
0.78	-17.785
0.8	-17.911
0.82	-6.174
0.84	11.965
0.86	16.001
0.88	5.042
0.9	0.448
0.92	4.363
0.94	3.891
0.96	-1.164
0.98	-1.316
1	2.879
1.02	6.691
1.04	-2.341
1.06	-15.651
1.08	-14.27
1.1	-6.433
1.12	-2.547
1.14	-1.931
1.16	-0.755
1.18	7.658
1.2	14.125
1.22	-5.414
1.24	-17.905
1.26	-6.693
1.28	6.945
1.3	0.122
1.32	-9.801
1.34	-5.057
1.36	1.909
1.38	6.239
1.4	7.034
1.42	0.818
1.44	-7.57
1.46	-12.41
1.48	-13.006
1.5	-9.961
1.52	0.754
1.54	4.315
1.56	-3.036
1.58	-3.072
1.6	-0.662
1.62	-6.725
1.64	-1.757
1.66	18.194
1.68	27.816
1.7	14.966
1.72	5.442
1.74	11.568
1.76	11.796
1.78	-0.662
1.8	-17.409
1.82	-19.28
1.84	-0.502
1.86	7.711
1.88	-5.809
1.9	-6.156
1.92	2.776
1.94	7.296
1.96	-1.269
1.98	-29.941
2	-31.026
2.02	-7.191
2.04	5.629
2.06	8.132
2.08	0.166
2.1	0.157
2.12	13.677
2.14	18.268
2.16	16.723
2.18	4.192
2.2	-9.888
2.22	-10.468
2.24	-11.209
2.26	-13.789
2.28	-9.392
2.3	-10.663
2.32	-10.613
2.34	3.306
2.36	25.651
2.38	31.145
2.4	8.424
2.42	-15.377
2.44	-11.603
2.46	3.068
2.48	-9.208
2.5	-31.529
2.52	-28.587
2.54	-12.594
2.56	-3.076
2.58	9.222
2.6	33.205
2.62	58.912
2.64	49.291
2.66	10.792
2.68	2.879
2.7	0.05
2.72	-20.099
2.74	-30.522
2.76	-39.503
2.78	-37.642
2.8	-8.685
2.82	2.144
2.84	-9.56
2.86	-16.494
2.88	-15.723
2.9	-8.385
2.92	-4.764
2.94	-7.122
2.96	-3.666
2.98	7.882
3	23.533
3.02	17.887
3.04	-14.092
3.06	-23.516
3.08	-7.254
3.1	-10.269
3.12	-16.952
3.14	2.772
3.16	29.96
3.18	26.096
3.2	4.897
3.22	-6.197
3.24	-16.41
3.26	-17.205
3.28	5.576
3.3	35.352
3.32	29.26
3.34	-20.078
3.36	-52.527
3.38	-32.446
3.4	-6.933
3.42	-17.664
3.44	-22.373
3.46	-4.009
3.48	9.019
3.5	10.938
3.52	11.817
3.54	13.523
3.56	11.559
3.58	3.961
3.6	4.169
3.62	-4.554
3.64	-4.336
3.66	22.913
3.68	26.513
3.7	3.138
3.72	4.17
3.74	22.491
3.76	10.861
3.78	-11.422
3.8	-4.138
3.82	16.043
3.84	25.294
3.86	26.417
3.88	-1.879
3.9	-28.59
3.92	-7.976
3.94	18.232
3.96	12.266
3.98	-7.956
4	-17.329
4.02	-7.694
4.04	12.481
